dev-s1	gold=不同	en-zh=引起	ja-zh=同樣
dev-s101	gold=包括	en-zh=包括	ja-zh=包括
dev-s103	gold=資源	en-zh=有	ja-zh=有
dev-s104	gold=成立	en-zh=成立	ja-zh=成立
dev-s106	gold=使用	en-zh=朝鮮	ja-zh=朝鮮
dev-s107	gold=有	en-zh=有	ja-zh=有
dev-s108	gold=死	en-zh=死	ja-zh=死
dev-s111	gold=恢複	en-zh=陷入	ja-zh=發展
dev-s112	gold=有	en-zh=有	ja-zh=有
dev-s114	gold=禁止	en-zh=任	ja-zh=演出
dev-s115	gold=使	en-zh=位置	ja-zh=位置
dev-s117	gold=使得	en-zh=由	ja-zh=使得
dev-s118	gold=組成	en-zh=戰爭	ja-zh=戰爭
dev-s119	gold=執行	en-zh=由	ja-zh=簽署
dev-s120	gold=提供	en-zh=提供	ja-zh=提供
dev-s123	gold=使	en-zh=接收	ja-zh=使
dev-s128	gold=重建	en-zh=重建	ja-zh=重建
dev-s129	gold=有	en-zh=有	ja-zh=有
dev-s13	gold=讓	en-zh=讓	ja-zh=讓
dev-s130	gold=動工	en-zh=啟用	ja-zh=啟用
dev-s131	gold=設有	en-zh=設有	ja-zh=設有
dev-s132	gold=平方公里	en-zh=平方公里	ja-zh=平方公里
dev-s133	gold=設有	en-zh=設有	ja-zh=設有
dev-s134	gold=隸屬	en-zh=隸屬	ja-zh=隸屬
dev-s136	gold=喬木	en-zh=jambu	ja-zh=jambu
dev-s137	gold=獲	en-zh=建設	ja-zh=設立
dev-s139	gold=任命	en-zh=希比拉	ja-zh=希比拉
dev-s14	gold=參加	en-zh=戰爭	ja-zh=參加
dev-s142	gold=交戰	en-zh=交戰	ja-zh=交戰
dev-s143	gold=說成	en-zh=說成	ja-zh=說成
dev-s144	gold=吸引	en-zh=吸引	ja-zh=人
dev-s145	gold=開始	en-zh=人	ja-zh=近年
dev-s146	gold=是	en-zh=提供	ja-zh=是
dev-s147	gold=生	en-zh=施米特	ja-zh=施米特
dev-s149	gold=是	en-zh=是	ja-zh=是
dev-s15	gold=作戰	en-zh=作戰	ja-zh=作戰
dev-s150	gold=發展	en-zh=分設	ja-zh=分設
dev-s151	gold=種	en-zh=種	ja-zh=種
dev-s152	gold=享年	en-zh=戰死	ja-zh=戰死
dev-s154	gold=效力	en-zh=紐卡素	ja-zh=紐卡素
dev-s156	gold=有	en-zh=有	ja-zh=有
dev-s158	gold=有	en-zh=有	ja-zh=有
dev-s16	gold=說	en-zh=提到	ja-zh=提到
dev-s161	gold=遭受	en-zh=淹浸	ja-zh=遭受
dev-s162	gold=城市	en-zh=擁有	ja-zh=有
dev-s163	gold=同意	en-zh=地位	ja-zh=穩固
dev-s164	gold=作品	en-zh=較多	ja-zh=較多
dev-s165	gold=看	en-zh=舉辦	ja-zh=活動
dev-s168	gold=任	en-zh=任	ja-zh=元帥
dev-s17	gold=成	en-zh=由	ja-zh=是
dev-s171	gold=擴大	en-zh=到	ja-zh=經典
dev-s172	gold=國家	en-zh=死亡	ja-zh=關係
dev-s175	gold=進行	en-zh=通過	ja-zh=進行
dev-s176	gold=提出	en-zh=提出	ja-zh=Gromaget
dev-s177	gold=修築	en-zh=修築	ja-zh=隨後
dev-s179	gold=維持	en-zh=上述	ja-zh=日
dev-s18	gold=記錄	en-zh=作	ja-zh=作
dev-s183	gold=位	en-zh=位	ja-zh=位
dev-s184	gold=一	en-zh=一	ja-zh=一
dev-s185	gold=吸取	en-zh=會	ja-zh=會
dev-s186	gold=構成	en-zh=構成	ja-zh=構成
dev-s188	gold=種植	en-zh=有	ja-zh=有
dev-s189	gold=樞紐	en-zh=一	ja-zh=一
dev-s193	gold=車站	en-zh=位	ja-zh=車站
dev-s194	gold=朝南	en-zh=朝南	ja-zh=朝南
dev-s195	gold=由	en-zh=由	ja-zh=由
dev-s196	gold=沒有	en-zh=沒有	ja-zh=沒有
dev-s2	gold=財產	en-zh=財產	ja-zh=財產
dev-s20	gold=抗議	en-zh=犯	ja-zh=年
dev-s200	gold=沒有	en-zh=沒有	ja-zh=沒有
dev-s201	gold=有些	en-zh=望遠	ja-zh=有些
dev-s202	gold=使得	en-zh=使得	ja-zh=製造
dev-s203	gold=說明	en-zh=說明	ja-zh=遇到
dev-s204	gold=由	en-zh=由	ja-zh=成立
dev-s205	gold=法庭	en-zh=分裂	ja-zh=名稱
dev-s206	gold=聯盟	en-zh=瓦解	ja-zh=打敗
dev-s208	gold=有	en-zh=有	ja-zh=有
dev-s209	gold=只有	en-zh=只有	ja-zh=只有
dev-s211	gold=承擔	en-zh=削弱	ja-zh=削弱
dev-s212	gold=表達	en-zh=用	ja-zh=行為
dev-s215	gold=顧名思義	en-zh=顧名思義	ja-zh=顧名思義
dev-s217	gold=設防	en-zh=以前	ja-zh=設防
dev-s218	gold=成立	en-zh=線路	ja-zh=線路
dev-s219	gold=無	en-zh=作戰	ja-zh=奪取
dev-s22	gold=寬	en-zh=位	ja-zh=位
dev-s220	gold=成	en-zh=巨基	ja-zh=得到
dev-s221	gold=奪取	en-zh=擊敗	ja-zh=擊敗
dev-s224	gold=發展	en-zh=進步	ja-zh=進步
dev-s225	gold=補充	en-zh=斯巴達	ja-zh=滿足
dev-s227	gold=產生	en-zh=成	ja-zh=成
dev-s228	gold=成	en-zh=成	ja-zh=起
dev-s229	gold=平方公里	en-zh=下轄	ja-zh=轄域
dev-s230	gold=學	en-zh=受	ja-zh=併
dev-s233	gold=生	en-zh=作	ja-zh=盧克萊修
dev-s234	gold=風格	en-zh=有意	ja-zh=有意
dev-s235	gold=立方米	en-zh=立方米	ja-zh=立方米
dev-s24	gold=設有	en-zh=設有	ja-zh=設有
dev-s240	gold=減少	en-zh=署	ja-zh=署
dev-s241	gold=有	en-zh=有	ja-zh=成分
dev-s242	gold=認為	en-zh=普遍	ja-zh=認為
dev-s243	gold=提倡	en-zh=提倡	ja-zh=提倡
dev-s244	gold=由	en-zh=由	ja-zh=由
dev-s247	gold=站	en-zh=建	ja-zh=建
dev-s248	gold=表示	en-zh=只有	ja-zh=只有
dev-s250	gold=都是	en-zh=加強	ja-zh=加強
dev-s252	gold=重視	en-zh=修養	ja-zh=說
dev-s253	gold=初見	en-zh=端倪	ja-zh=端倪
dev-s254	gold=有	en-zh=有	ja-zh=有
dev-s255	gold=有關	en-zh=有關	ja-zh=有關
dev-s256	gold=呈現	en-zh=呈現	ja-zh=呈現
dev-s259	gold=意味	en-zh=稀少	ja-zh=稀少
dev-s260	gold=條	en-zh=不是	ja-zh=獨立
dev-s261	gold=結束	en-zh=年久失修	ja-zh=大戰
dev-s263	gold=出現	en-zh=出現	ja-zh=出現
dev-s265	gold=有	en-zh=有	ja-zh=有
dev-s268	gold=影迷	en-zh=影迷	ja-zh=受到
dev-s269	gold=出現	en-zh=曾	ja-zh=出現
dev-s271	gold=協助	en-zh=利物浦	ja-zh=利物浦
dev-s272	gold=一	en-zh=一	ja-zh=是
dev-s273	gold=見	en-zh=複雜	ja-zh=不
dev-s274	gold=屬	en-zh=位	ja-zh=位
dev-s276	gold=開始	en-zh=經過	ja-zh=經過
dev-s277	gold=沒有	en-zh=沒有	ja-zh=回到
dev-s278	gold=準備	en-zh=給予	ja-zh=告訴
dev-s279	gold=回到	en-zh=過去	ja-zh=回到
dev-s282	gold=評	en-zh=當年	ja-zh=雜誌
dev-s283	gold=製作	en-zh=製作	ja-zh=強留
dev-s288	gold=到達	en-zh=到達	ja-zh=後來
dev-s29	gold=設有	en-zh=設有	ja-zh=設有
dev-s291	gold=犧牲	en-zh=犧牲	ja-zh=暴雨
dev-s293	gold=領先	en-zh=舉行	ja-zh=分
dev-s296	gold=創立	en-zh=西晉	ja-zh=受封
dev-s298	gold=部分	en-zh=部分	ja-zh=部分
dev-s3	gold=設置	en-zh=如果	ja-zh=如果
dev-s30	gold=拆除	en-zh=重建	ja-zh=重建
dev-s301	gold=標誌	en-zh=說	ja-zh=說
dev-s303	gold=協助	en-zh=入選	ja-zh=羸得
dev-s306	gold=鎮	en-zh=下轄	ja-zh=鎮
dev-s307	gold=包括	en-zh=城鎮	ja-zh=包括
dev-s308	gold=說	en-zh=說	ja-zh=總括
dev-s31	gold=達	en-zh=達	ja-zh=達
dev-s310	gold=邀請	en-zh=打算	ja-zh=打算
dev-s312	gold=有	en-zh=有	ja-zh=分成
dev-s313	gold=場	en-zh=位	ja-zh=觀眾
dev-s314	gold=足	en-zh=當然	ja-zh=當然
dev-s315	gold=造成	en-zh=造成	ja-zh=行為
dev-s316	gold=凝滯	en-zh=寄生	ja-zh=寄生
dev-s317	gold=員	en-zh=員	ja-zh=員
dev-s318	gold=講師	en-zh=研究	ja-zh=研究
dev-s319	gold=湖泊	en-zh=平方千米	ja-zh=是
dev-s32	gold=日期	en-zh=確定	ja-zh=參賽
dev-s321	gold=提供	en-zh=使	ja-zh=使
dev-s322	gold=參與	en-zh=參與	ja-zh=參與
dev-s323	gold=去世	en-zh=君王	ja-zh=君王
dev-s326	gold=導致	en-zh=入侵	ja-zh=削弱
dev-s327	gold=帶有	en-zh=像	ja-zh=帶有
dev-s328	gold=採取	en-zh=逃避	ja-zh=平民
dev-s329	gold=合成	en-zh=用	ja-zh=用
dev-s330	gold=使	en-zh=使	ja-zh=使
dev-s334	gold=任	en-zh=董事	ja-zh=董事
dev-s335	gold=治軍	en-zh=精銳	ja-zh=嚴謹
dev-s336	gold=攻打	en-zh=轉成	ja-zh=轉成
dev-s337	gold=令	en-zh=朝廷	ja-zh=朝廷
dev-s34	gold=有	en-zh=有	ja-zh=有
dev-s340	gold=畢業	en-zh=知識	ja-zh=而
dev-s341	gold=建築	en-zh=現	ja-zh=現
dev-s343	gold=對付	en-zh=由	ja-zh=由
dev-s344	gold=成	en-zh=自殺	ja-zh=自殺
dev-s345	gold=交給	en-zh=交給	ja-zh=Katherine
dev-s346	gold=是	en-zh=讓	ja-zh=參加
dev-s347	gold=出現	en-zh=虛弱	ja-zh=出現
dev-s348	gold=歲	en-zh=創作	ja-zh=居住
